"","k_1","k_2","k_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM"
"BNI5",72.4102789136629,80.2552345132076,104.086062899291,91.7396625753393,99.4656141530548,99.7482183096013,112.892,103.851,83.5944,47.7752
"BNR1",2.45213130378913,2.91088275736527,0.600629792568227,6.45105666172381,7.48023111522434,5.76810209907535,10.1743,10.2882,7.4486,9.97841
"BNS1",184.150472640767,194.42460555717,189.162449543197,324.670634824253,362.374761648362,338.482070975928,69.0792,71.6024,167.907,208.417
"BOI1",17.6893794140427,21.9023539662247,17.8430745297069,37.6622798872172,41.4766660232546,36.4546961700511,34.6605,28.5722,22.4027,21.6671
"BOP3",17.8146400409463,20.4753824199403,15.1307626405568,31.1452255855104,26.970225577227,31.1550951326314,33.5001,45.8703,29.0817,30.9776
"BOR1",81.9828283736755,77.7980949585366,31.7150694076801,57.2912065245518,55.8703833904018,56.0265440073166,17.2531,17.1298,28.8969,21.1794
"BOS1",21.779559926568,23.0409287160562,60.641363501518,28.7281953351739,29.5110332294772,24.0164371182222,71.9417,71.2373,115.579,130.832
"BPH1",15.8331429673458,18.2023499875272,12.0547355544257,21.9423204527408,20.7183841836544,19.5743169297541,25.9249,22.6404,15.7553,17.1813
"BPL1",77.7382988006995,76.2233660566599,54.3695177180834,57.1587039007662,57.0275948681015,50.9920107774662,15.8224,16.5927,26.5724,20.6861
"BPT1",5.26074658763171,5.82072070212096,10.7184629213941,16.7076427397655,18.2320638097204,17.9447644280318,79.9008,78.2527,76.7792,79.7987
"BRE1",29.2114986471895,36.4244258441267,26.9031039350324,34.6380993521327,37.2361999027125,33.850964589006,111.378,118.887,109.671,95.8688
"BRE2",9.9976793448229,12.6296503560688,21.9359084086325,14.8348472100329,16.4437608150273,13.4743182108267,66.3631,51.3459,37.3222,46.5898
"BRE4",23.8761554942118,24.8656753242029,39.7582816773878,38.6457480792933,38.5021729912298,39.4618415565411,41.6841,39.4233,44.6033,34.4751
"BRE5",108.203316624005,118.039431907914,173.572137767658,87.8693188826492,87.2134916562245,79.3113269911563,446.197,495.278,131.878,110.31
"BRL1",7.00389694219763,9.29212047007246,39.0623922820429,52.4831546949403,55.4589037321237,51.8373033236203,28.8067,25.5417,31.5917,18.9068
"BRN1",10.0789876168521,10.4071326323467,17.1193230972983,16.3294591125524,17.0906099071931,16.2953937366845,26.349,19.2995,17.3379,19.9946
"BRO1",27.5686670909575,31.0355276767711,64.8706729014912,36.9652529782238,37.7937020930974,36.5404967434318,55.922,53.2054,61.7025,87.6751
"BRR1",14.1511294497239,16.3829607667361,23.8219963930224,114.166712078685,142.13571058061,139.940992304434,74.1926,84.7302,76.4216,70.4769
"BRR2",8.24860198711439,11.467578099247,10.2660457857765,12.8529973592731,13.3414346569026,13.7911868820401,52.5153,41.4473,30.3267,33.0926
"BRR6",18.4423692926584,18.9437698619161,5.39374496105313,18.9440440929074,15.9424650725187,22.0254626633012,48.7556,53.2265,67.2176,63.1503
"BRX1",61.6158369139853,57.7646553836181,4.84204222380196,72.718087462314,76.8329764782138,71.0698708405029,186.4,108.735,93.4763,43.9001
"BSC6",631.678110801756,658.292167930357,38.2637601064822,904.906084039044,816.907207776079,1024.13231087951,31.5195,28.1155,19.4798,14.5434
"BSD2",126.509447032744,137.884949545676,173.560288453605,286.154410438572,273.867450254603,299.424495531764,196.446,226.821,474.881,540.705
"BSP1",15.6113635267005,16.9359345890125,5.53427303618736,22.9882690386602,25.308168064515,21.1970705242574,15.0965,17.4301,35.0925,33.8314
"BST1",11.3509591693794,12.3795425875695,21.2641629463078,16.1440268385464,14.2747911305066,14.8455313841192,19.9234,17.9596,13.8704,12.2437
"BTN2",36.6535240921053,34.6572542171437,2342.781995412,40.5137254694801,36.9282447898271,34.2500340548706,173.727,308.434,332.35,340.456
"BTS1",28.3413504172648,27.1813828709045,41.7040839995646,29.1034943400634,28.2323175734775,32.5901016402994,14.3348,19.2839,19.0235,13.2498
"BUB1",2.61452317974054,2.75308285893962,5.36551784787912,5.62557582163516,5.22903074619669,4.53488996327288,5.48349,4.09882,2.68108,2.46615
"BUB2",4.94772180950088,6.95743092161427,2.94312156290688,6.57390833942205,7.14567191369219,6.09378300432151,36.2247,33.6948,28.4648,26.5374
"BUD14",10.7460953665462,11.8622540682352,1.71709961638914,27.2454497694875,29.1935094542233,26.5885364748453,78.6726,66.6048,103.634,72.6419
"BUD16",16.8597536748118,18.2209677413985,14.9774850548016,34.3430039111187,29.8563976021174,28.0639786472606,26.7433,27.8073,16.1473,13.0046
"BUD17",70.9872290125846,65.6383911519152,57.1233139709653,53.4980126932277,52.9489850499055,50.9084788486026,20.9669,21.6069,28.0403,27.0077
"BUD2",2.77613188313363,4.28746938565934,11.0813198870214,5.50536703918696,6.13375519147797,5.02860659773359,26.6598,23.2748,43.0161,41.8862
"BUD20",69.6492176818374,60.5182899471518,17.1307830581211,75.881684832186,81.168682716157,75.1785716995196,344.618,225.63,127.87,107.421
"BUD21",25.852675300432,24.839646397354,2.19956336678136,8.03999006291305,5.89004431250679,4.72140244884245,111.073,61.8063,71.8876,58.5839
"BUD22",16.4868681275016,17.6274920076177,3.52661350226535,9.76291683511046,9.61381641390182,7.4192127458275,502.443,357.139,51.109,43.0551
"BUD23",27.7797745083278,26.250134678923,16.2592990345631,38.0848535909868,41.7492191238098,39.0411396209703,92.872,58.3704,48.0471,24.7558
"BUD27",15.4710986843968,14.6530869444736,4.93064564621524,23.6708231258355,24.3475061821799,21.4050270953209,52.7661,35.6354,12.6034,6.52601
"BUD3",7.01553132250028,8.12463006672936,3.95325762879718,7.56678272986735,7.05654000855075,5.72425672838981,12.7585,10.181,12.7779,8.96868
"BUD31",3.61843954476209,2.74472537045094,2.82204377709109,12.519981172661,12.171350670193,13.4715672271169,18.3756,15.3748,8.91327,7.62248
"BUD32",41.7578543623539,43.8666957266934,46.806234145729,33.0729607476131,32.5290949512021,29.2252467292162,87.5187,85.0558,71.7102,49.5743
"BUD4",9.42575975245247,11.3065222279586,19.5273506745392,11.9131748007034,14.6980104782391,11.6092676872267,32.0962,25.7758,21.7918,19.002
"BUD5",3.32034652614041,4.17122795337727,9.03576122451946,11.6152765790167,13.3102378685353,9.99691570369454,9.73441,10.5445,8.82238,6.98286
"BUD6",6.62340616877963,6.95472746274188,34.211380160241,8.02252571363732,8.96537718363865,6.71890357751483,36.9918,35.8313,28.2533,35.9867
"BUD7",2.62856757734442,8.72317890723776,2.096628135331,2.84217963402361,5.5647168726033,9.28513918977438,92.4429,91.0012,92.1678,52.6623
"BUD8",16.4753381801165,17.3521295789126,15.1335067991283,13.6852650746008,15.2530046602548,14.7372017458009,23.8656,21.6838,50.6978,35.6693
"BUG1",67.1910650311906,62.7980379096892,133.305201924035,48.9535327227904,47.5072564163945,41.2870376703877,875.923,913.794,348.186,446.58
"BUL1",14.8890190684074,18.6789661817504,33.2570698637269,44.3058383427881,48.8900846091459,48.5965103964734,32.866,30.0725,42.6532,39.102
"BUR2",31.5722351920585,33.6517137493499,55.5589070886468,41.0065718341715,38.7719110292432,43.2833549556019,41.3199,41.2694,28.6405,37.291
"BUR6",357.432742574223,366.733323294325,254.341663797266,404.86048272685,424.371709435403,428.825839823916,423.279,344.987,270.772,285.415
"BZZ1",50.7585702620373,50.1706219061508,125.683608511862,40.0795373694893,42.4114911143603,39.4017554735645,68.0992,71.0054,144.325,180.588
"CAB1",73.6527035690241,67.5582608571892,16.4915599357131,89.1600835785645,82.7516595388455,76.336805782389,42.8236,39.9973,99.8159,82.311
"CAB2",32.7172281042904,31.7208498471259,36.2032543368104,33.6362085799663,33.1411436260626,31.2946172591654,58.5964,50.7921,68.2125,59.181
"CAB3",112.344190669909,106.927784250838,86.8006665540311,98.7843708005211,94.6905005912396,94.8708724117316,54.9843,49.4202,92.2803,86.2669
"CAB4",77.974816209036,70.6219200223664,89.0790769387881,92.9031363533767,96.0312050907274,85.7025488462156,59.4831,61.4795,53.3089,30.6837
"CAB5",96.3443032862767,80.8663300373342,107.279629949267,94.8460490730524,95.8797282139133,100.758225593445,318.794,440.318,401.75,606.911
"CAC2",35.2145012287885,34.6243595678828,4.86104111840765,74.956761341018,79.1276906942807,70.6096478700693,65.4229,47.4489,57.0353,44.4838
"CAF130",1.94652574302523,2.74861913241707,1.31888387096192,8.01148163725602,7.97578859829468,7.61524183411754,24.0708,22.5198,20.5017,22.4842
"CAF16",22.0305654930976,21.8285694404519,24.6514894351506,28.7409536277447,29.0420994938082,24.826223223723,79.8629,91.0102,110.572,116.087
"CAF20",31.6920519444291,38.9849866338378,16.7039054737909,66.7990295853627,69.6787144299828,57.7709602126726,321.239,377.303,228.553,113.851
"CAF40",101.022704518149,92.8702234035173,9.12769343177998,147.483660379564,144.21666663318,148.993670722944,64.3122,56.6021,102.051,62.67
"CAJ1",186.945503276927,192.740714902777,267.013504838687,200.614981337403,211.267844646994,225.691242073821,366.063,369.49,353.65,344.173
"CAK1",10.4274779837106,11.8190061025288,23.0079664033336,18.4458649937707,16.3660423116422,18.8706063317787,48.1142,53.4214,81.9962,83.1259
"CAM1",507.45240276824,512.397748770553,258.771335631478,715.009076070951,661.536771338265,691.375727654922,385.367,324.33,265.167,190.544
"CAN1",64.5733337983488,65.0831652409442,34.0813338831516,83.0615991323648,75.8045015742252,68.5255600641942,29.2135,38.2925,53.6513,52.1433
"CAP1",72.7548782440879,71.3754239176483,163.201952856289,72.6476726928832,64.9234336500574,55.2753096157444,275.981,324.935,317.451,331.716
"CAP2",115.749286193073,115.128159169605,213.531591639961,75.4074243019848,68.8252794865402,63.378970496732,275.519,256.556,280.561,223.355
"CAR1",78.4957677763693,82.6931797977107,98.7178541627078,88.4675780750417,103.157009163744,108.930668100519,26.0219,24.1594,137.713,180.399
"CAR2",183.406602342052,183.637236501975,35.7687312859322,109.772158620014,116.488496694264,110.160837612797,20.3581,21.1162,53.4761,40.7508
"CAT2",1046.5127524236,1006.72347546014,113.309077052888,178.666002356195,123.169765850484,62.6506596676495,19.1893,22.6884,259.972,470.459
"CAT8",65.6991861940137,75.2975926456654,13.4653309239409,108.21339396761,115.367824546309,116.542730410987,26.7749,29.2579,182.799,159.694
"CAX4",11.2261740282418,10.4366604783023,20.0053267912833,12.9674445802327,11.7670575535257,8.51137759062651,55.215,52.7731,34.8827,32.6306
"CBC2",69.2695802522128,64.6504659284441,70.0702253871425,58.745520258014,63.7262614384767,60.8899831289224,260.109,265.135,225.717,253.858
"CBF1",75.3404938140824,79.4343033697097,18.3605257765142,51.1082982935357,50.3940959435172,45.9467006732089,124.191,95.8307,105.176,83.9593
"CBF2",3.7897197463115,4.47976530202743,19.4684274379684,7.49137798849632,7.65179038209369,6.73972934117907,30.178,20.9813,17.4023,15.2674
"CBF5",81.6392481172295,79.6212295644823,15.0630402708123,45.4847634263334,42.7586726012996,35.2279602384481,1330.24,1176.42,299.921,275.458
"CBK1",19.6637074535957,22.910327020108,34.2180463625174,48.4445874799281,50.9028908795186,47.8711846505767,50.3178,47.6194,59.4191,49.3821
"CBP3",113.831353197218,113.675251359068,92.6151400461383,59.7547003035563,56.7899743582807,53.9887792488134,60.3066,68.3825,138.353,121.859
"CBP4",340.399501266102,324.169943771826,376.274862687403,221.026836205903,212.015712846186,214.177210644129,49.4633,54.6977,225.007,224.928
"CBP6",115.799284386641,119.312026940214,89.5896769674557,120.047392015426,111.010784999959,109.847392810782,78.2594,77.8391,106.949,150.013
"CBR1",98.0337638302259,92.0131870347034,267.932223365136,59.430446484489,58.2749516936512,50.789178280034,360.926,328.359,375.972,342.802
"CBS2",13.2526567477702,15.7153817407251,20.4859218074794,23.6605708886305,22.5826010191653,21.8428996367841,40.3156,42.2616,64.7228,69.0817
"CCA1",10.4323501816285,11.1648584852218,15.40652354729,22.02978055762,22.1401082888637,19.5983658004839,75.0649,65.154,39.2946,45.8818
"CCC1",134.687742443939,132.219468084079,18.1083346396285,141.998289710852,116.041557258333,101.168664344941,50.6868,49.2044,121.939,74.1799
"CCC2",48.4628681050452,54.4798613973398,85.1397149217403,100.664411464066,100.50224566208,96.719293849456,20.4669,18.6999,19.1701,14.651
"CCE1",6.21041920624903,5.75395639811014,9.00144537431213,6.94534492504187,6.9494194649713,5.76646912437571,37.9486,39.4093,32.8457,48.3366
"CCH1",17.2112353995524,20.1334865016177,15.8707186857295,31.7414697471101,30.8847362298093,31.8245731185735,9.1003,8.74322,6.04039,6.07116
"CCL1",18.3512958640527,18.3222654907578,39.4338651428674,34.2242873543889,35.6622781304737,37.4855425302872,42.8102,48.1397,120.571,154.052
"CCM1",14.5825806359758,16.3723889607801,13.6910301446845,24.1749367023302,27.501760379141,24.5045779947884,29.0092,27.5198,33.764,33.1905
"CCP1",1033.01313003347,1023.83060027926,1227.11524220079,1387.25884353572,1242.15819109208,1212.9336037377,455.909,442.589,653.906,594.239
"CCR4",54.2246735778599,53.5203675123388,80.9987561792734,47.2476478049935,48.4318452752507,44.8482838576354,27.0877,23.4415,29.0784,19.2898
"CCS1",197.831002666326,186.299634889445,118.626364130442,145.67040679361,147.5993831437,141.987734894826,320.538,244.285,199.346,117.668
"CCT2",22.6767682128512,26.1154577150107,26.1564249637897,42.6112440980219,39.7859757281473,33.3380711861423,460.626,389.074,232.383,106.671
"CCT3",17.0186673182418,22.3845326542871,43.2951102199414,30.2423467277015,25.8172755278848,22.0563301044943,215.078,204.488,193.67,125.766
"CCT4",46.7276151531876,53.3802850948958,49.4662095657754,72.2561280028282,65.6447956496931,59.233875575552,79.0403,69.862,154.122,74.8687
"CCT5",21.6741537079277,30.4108818545557,5.66457426036796,57.9156428933057,52.9868435544814,48.1477518387047,127.265,117.507,127.903,56.747
"CCT6",35.9928874138146,39.5427911652601,54.182769787242,52.9071304289454,51.9909625484219,46.6074234437176,422.045,355.126,443.119,218.393
"CCT7",44.1322661669931,44.0094214041845,65.620782340886,37.446963248276,34.9747336773707,30.6944826849935,176.229,183.794,319.62,225.706
"CCT8",43.0228806882774,45.2157249668119,32.1018692469036,86.6740567239351,88.8230638106297,79.8033441518737,382.729,338.083,313.077,219.606
"CCW12",28603.015386525,29248.1166699564,26410.3593456611,14375.4363101481,14688.8099392651,13970.9517061414,4584.42,4659.88,4306.64,3829.13
"CCW14",1442.07158231404,1427.24920216762,1349.33127217822,1049.72615797496,1151.2483906641,1127.24563170879,174.08,139.221,218.36,87.4512
"CCZ1",14.8763208177876,14.0091094697705,10.3927110286455,17.8188620931811,15.961522158411,14.5019380681917,24.1428,24.2964,16.9338,17.1544
"CDA2",13.0155626982166,9.54125480883396,25.8455902554106,10.2923987256564,10.2402702693854,9.09719185507529,2.4229,2.34784,1.01343,0.729228
"CDC1",27.3600073351389,26.5668283119362,63.787663594479,30.1249420199605,27.6494464387528,28.0122797310947,52.5977,46.9993,58.1732,41.245
"CDC10",33.5420213716688,31.4838262175259,90.6353582514179,50.7344435359535,48.0401405725062,42.7032929080493,222.864,212.115,161.211,194.251
"CDC11",68.0589794238026,64.3608179196626,80.8300537941674,42.6730091150921,37.5782830888684,30.3128488690146,135.118,127.8,229.895,141.127
"CDC12",77.0023527353027,70.8101991933426,115.431618049746,69.627389655334,67.581650343672,61.5732435417622,57.1571,41.5049,86.9304,44.7115
"CDC123",39.0782754328327,40.9051686607689,86.0128908201643,73.1161622563003,73.5452486039951,78.2892165753373,58.1435,49.0206,31.9199,22.2571
"CDC13",11.5858194109558,13.0132213448154,14.7091202403991,15.4677520402363,14.602470529873,14.8092966936126,16.821,14.886,13.948,12.9795
"CDC14",3.38628371750628,3.96074669486495,12.6572706302181,13.0690497373829,13.055612494073,11.1259950232112,24.578,15.3217,30.1328,23.7499
"CDC15",28.0841693789956,23.5594399570904,17.3339650662234,12.9977588965047,14.9119102558009,12.6536201364406,8.43827,8.56677,12.2736,13.8984
"CDC16",13.3513395790103,13.3056047168956,24.3097351151996,21.5222456422361,24.9168426403602,23.6340151250824,56.1679,51.5154,52.8555,50.951
"CDC20",7.16380597949615,7.49596074154277,8.43242410633124,6.24190363056098,7.8038045923278,5.8496054158728,33.0885,29.2012,44.5719,28.9574
"CDC21",10.913582761018,11.8488144407445,9.17017027059525,13.0616014875074,11.7725690558927,11.0566364715705,47.6313,36.8843,26.0502,15.514
"CDC23",2.93031993746084,3.63482193388926,4.86673871539707,6.35860988686115,7.49947427920484,6.76565547221505,30.5985,29.3142,32.4129,30.5392
"CDC24",21.4350969914293,27.435278462928,50.3501770614698,32.0235025998442,33.7081753403168,29.6222793211544,20.795,18.4121,26.4836,23.7263
"CDC25",68.8110948238808,72.4836876557452,49.6224966257301,72.723173568002,71.5108191925733,73.6125114037815,81.1595,75.9425,105.652,96.3258
"CDC27",27.0853635225818,29.4347275821217,50.6939748349566,39.0543808295787,44.8719380648447,43.7183635481205,15.8055,14.2184,19.4296,19.5017
"CDC28",33.3070297075218,37.1156106400618,65.8005962877698,42.2790223824718,41.2982830739571,33.0954864685716,133.286,118.864,85.6284,77.7604
"CDC3",55.3105490727742,54.7558849155617,99.0032041115692,57.6407427259745,57.2969105463452,49.4242733668683,246.525,234.558,228.98,220.667
"CDC31",21.4014425667318,22.8736190677031,30.159829327678,42.3563714903797,43.2259257068292,38.1617115225988,341.499,345.35,320.123,451.817
"CDC34",144.015229591958,141.473925909742,191.227345765073,216.372334275898,219.279424670923,228.927670015753,328.829,365.224,696.616,895.414
"CDC36",96.5560490077849,91.2913791532748,69.4569457589112,63.8594234887828,60.1891808761038,57.8044727011282,102.318,99.9345,82.2136,83.4313
"CDC37",179.524655693242,164.027960310709,371.24351650883,175.714807159699,171.719378044452,180.645588076903,231.346,240.399,144.952,123.832
"CDC39",19.8369150432847,21.8971834388483,24.1907462790976,19.0880945251033,17.8101154391688,16.1278095518056,36.636,33.9139,42.0944,42.5753
"CDC4",79.4288912589151,84.0481934261156,42.3294816207895,147.145352940707,149.673892371128,159.153563560386,21.1761,22.8891,36.818,36.0024
"CDC40",13.6502125586281,13.447026621124,42.3258836436355,20.3182795232293,20.5473935220369,20.3070004273371,55.0524,54.2784,50.1734,42.6729
"CDC42",136.443649296911,144.367312822686,250.175784273089,146.029314547069,151.640950020138,138.90862994226,373.587,365.489,363.651,279.45
"CDC43",25.0417176962711,26.1848405443576,33.8679009755441,23.2086405378297,23.0740496989437,22.304114427166,73.4748,60.5904,72.6149,69.1448
"CDC45",3.37529000852037,2.53511574638914,2.02674053081996,2.33737459454778,1.90681529652016,1.39706038839747,29.1853,24.4071,23.1564,12.8596
"CDC48",243.586380663318,244.136310698431,323.59722760991,270.736660364387,250.766873577657,238.190651738095,1064.92,1103.4,1142.15,763.821
"CDC5",40.1325720679987,42.9394872828616,29.2655583031876,41.5038855776923,44.42630523552,38.5397560520652,28.4779,25.0224,27.0245,20.6316
"CDC50",42.3163155076278,41.0881368978788,86.6209002061039,30.3851280081835,30.8228277592538,29.7862512386622,48.9514,40.0033,58.2946,80.0979
"CDC53",41.2041489186893,42.26613516618,60.5770225322856,51.2685929991663,52.7130973297272,50.3870278183717,110.684,115.019,112.132,109.797
"CDC55",64.7016396714767,69.4589883176123,141.245471430433,187.408180283191,217.959600272434,196.835580767901,111.353,118.302,245.625,217.491
"CDC6",5.43801512055408,4.83676983420795,5.87294131089876,7.85726301602866,8.78708843282765,9.08248734237851,8.74368,7.63243,3.82056,4.30479
"CDC60",93.4274769397227,93.2651882556286,166.492844154287,80.037406555565,78.0577858081884,69.9250923556901,513.556,414.319,143.146,101.017
"CDC7",7.01407702496245,9.3860712726092,17.6073083614984,16.6563568968926,15.6894100713676,17.3368655447166,16.6577,16.0818,28.9491,24.1357
"CDC73",22.8407679922068,21.064559005768,49.8932573297483,16.552201885031,15.873126816934,13.6981776311282,140.559,121.893,116.001,95.8659
"CDC8",5.17823660181436,6.16587595068126,7.97248644824915,10.677256192272,12.0458977799126,9.29771216091828,273.13,234.68,129.017,114.496
"CDC9",17.961264006763,20.1897926287534,3.2689363400322,21.8485085190511,24.2178351412174,19.2424944272156,20.8246,22.7505,25.7424,19.2799
"CDD1",72.3914567357907,74.9457393938232,255.178874887131,108.97565267904,110.562956878765,108.172316677803,86.426,91.2747,98.2777,87.2062
"CDH1",24.3380022070986,23.5949799439932,23.930189400043,26.4340642840831,28.4469412014421,24.2984353077867,41.2361,38.1526,98.3801,91.7116
"CDS1",60.6878362537182,72.5466585948232,105.725281708175,85.0295980763679,92.1852901706058,86.2359276131926,102.647,82.141,84.7216,46.062
"CEF1",24.5151093457444,29.0502702064655,100.31268114636,69.9010310653022,101.151787159446,80.0122966471077,43.3276,38.155,46.2604,70.0369
"CEG1",30.6629247348729,32.1996948551976,68.1993912797013,29.5031037818724,30.7546483134946,29.9187818337174,68.0062,62.0711,60.62,76.5176
"CEM1",72.7287735125037,70.3537071324807,26.6948000471426,72.8198879226498,70.1976581566151,71.917865459422,59.9475,56.1838,23.8595,18.4827
"CEP3",2.84157953661058,2.81145289161263,5.55136385265112,7.45861024974052,8.12986796474201,6.77484802810272,56.8352,47.5692,49.7856,64.5417
"CET1",42.4243648066364,41.4452447565141,54.0704134510051,45.0912051351668,45.7664192287344,45.527260760417,23.5645,25.642,61.7005,56.8563
"CEX1",8.99051506076226,9.92338209412351,17.5263218034022,17.5468353316371,17.2693740832384,13.6456270775561,31.0223,27.0446,37.9399,40.8732
"CFD1",46.4474485889175,42.4426798273813,24.3354149757953,33.8752497359851,33.7406668201454,31.6651930621065,64.9205,62.6355,40.502,46.6737
"CFT1",2.04444144904566,2.3446427962311,4.33303147968406,6.1475292824807,6.23454390356481,4.9618997786625,35.6987,35.2323,39.6107,33.256
"CFT2",10.0708330961265,11.1501678819518,35.0972140702969,15.2952012540738,17.1380838236019,15.1991581580349,30.5925,26.5472,33.4546,44.596
"CGI121",14.6271715515602,14.8993644743923,33.2012100114586,21.4191892814082,23.0917445223324,20.8362944913389,89.778,83.8677,54.4373,44.1982
"CGR1",71.5803829293913,67.2829629767317,8.568333951434,40.5414972999547,37.8295183602314,37.8415254551897,1167.9,1027.93,82.6137,63.5323
"CHA1",108.255737397308,119.55695807775,487.038734244675,201.351405660509,208.164071070251,186.227451429768,81.6532,28.989,87.4549,34.1479
"CHA4",21.3985676248223,20.0306982636564,39.7308143727682,15.5536910275149,15.8487122279364,15.2808323745763,22.0752,18.4418,27.7238,42.3381
"CHC1",70.9085883832811,81.703720724459,233.877284940179,77.2105431737101,72.4245379194301,65.7309309651943,123.682,123.47,149.129,123.911
"CHD1",27.2429935948227,29.992658341552,7.70057864519718,42.9748087255607,47.6264194065708,45.3940138166747,60.8474,46.6724,71.2315,63.5596
"CHK1",10.9036877282435,12.5309157318257,22.1310747618272,11.5792503608369,12.5463755414713,11.3485034541687,24.7888,26.6533,46.6575,49.9455
"CHL1",9.27477022296647,9.39202636178787,47.822243275643,25.9277206282973,24.747045979051,25.1634444927997,16.464,12.793,14.1258,14.7029
"CHL4",3.36675697198198,3.79458282464842,4.91484578723841,5.7009386492457,6.2869707500266,5.641827431501,35.9235,41.885,47.333,50.8756
"CHO1",227.715198832235,232.383975581644,310.938847255616,354.36984690251,387.059784046363,404.066748110642,930.068,1377.07,512.402,466.761
"CHO2",36.5862651995856,36.675467326294,64.977572252012,121.447264164976,143.480977945059,166.704634700279,228.085,262.599,214.759,219.968
"CHS1",26.8322181479084,31.7368981685442,36.5729111504546,19.175406113045,21.4138650510976,20.2285561149103,82.9087,72.8851,132.067,80.9189
"CHS2",15.1874387588377,17.3724402556338,46.5752054298693,24.4450202511456,29.993884693516,25.2947155833721,18.6405,17.7575,18.7444,14.3753
"CHS3",16.805847444049,18.5580833520821,22.361646164128,36.108545188189,38.4378105469324,35.0506358361826,26.8315,20.2707,31.3387,24.0041
"CHS5",28.1149259529079,34.3740095253569,63.0464771597488,65.4564783232701,66.2093868672462,58.8691533525445,772.922,784.712,682.327,651.875
"CHS6",17.5530715099917,19.0760961737864,46.6037411752613,32.9463246434241,33.2268366095577,29.3413600593699,21.1329,20.5859,19.968,22.8179
"CHS7",28.6456004380097,30.9491281595065,34.2888806786522,35.1205813581629,42.1626464721119,33.7896754402361,68.3709,61.5073,70.6647,43.051
"CHZ1",17.7866406066972,20.6612205748053,77.9988022467077,27.1413800606659,25.4290698299569,19.8940471413809,1476.46,1268.5,1695.75,1808.55
"CIA1",21.3515536494041,22.9059394390054,46.100784611487,38.3821512367846,40.5850582059344,42.3328435497972,125.674,119.031,100.954,68.2725
"CIC1",59.7253911388361,59.0827288112089,7.05180339331689,32.4311253428708,27.970590414419,29.9077660819377,177.434,96.3687,36.1333,15.7804
"CIK1",2.10046317643868,2.93906387090912,2.83027971398615,6.46067425101622,6.51896607413853,6.62727430666614,36.2397,32.0492,40.5378,40.6295
"CIN1",5.97649166624019,5.88058764033991,6.5559259774058,8.19625931606579,7.98396015466045,6.91697957017897,16.0043,17.5701,29.0281,20.8421
"CIN4",122.219630454591,128.052112463533,26.1449528475775,112.164250773714,119.217103099435,127.838680663784,91.752,80.1505,50.1156,65.2445
"CIN5",270.548900965277,277.369490017129,170.068480292751,412.20870933858,425.122160247445,519.207267688188,21.3685,22.5875,32.0521,19.8509
"CIN8",2.9563695520517,3.28645150787082,4.22830521976482,5.3736294986304,5.7461143634354,5.09292345872708,34.1097,27.1794,26.6601,23.7243
"CIR1",55.3318549485783,59.5338115529814,5.79068723091418,68.9512047636359,56.4922608636999,53.9132158029536,219.143,238.212,187.701,184.791
"CIR2",49.2430402270298,49.3842739083781,44.693818750088,21.3105439276957,16.7637450860992,15.6499250414392,58.5891,64.8025,171.488,131.014
"CIT1",5475.32436669091,5817.43943669946,4244.76516793715,3648.50423451452,3195.221528885,2975.84143372297,384.806,589.688,1306.33,1286.58
"CIT3",1182.21525525214,1153.14999658542,112.959763054476,28.0351052335663,22.3677012387719,6.20182328972977,9.59713,9.16019,606.215,820.421
"CKA1",103.438351121835,100.49315349209,162.301815235449,94.5810000760755,93.6330568965041,95.2075521224981,205.063,239.793,163.307,227.606
"CKA2",60.7666753865169,73.3728857868527,54.7398248939938,86.8142796814789,86.8011518234105,91.674055438546,163.477,186.336,218.87,168.757
"CKB1",83.0624191302957,91.7170956069398,128.628514555289,100.822132781667,101.807198307348,102.3472304812,307.704,256.763,267.109,225.753
"CKB2",103.811761715894,101.775158867388,99.1022175906644,99.7644676353409,96.9487935751647,97.8495303752377,196.315,201.204,226.351,195.37
"CKI1",54.2069047061249,58.6029928298143,81.2197501610074,180.364368688764,182.843886895208,180.058827496095,114.014,149.842,85.5682,72.9751
"CKS1",15.1883773172119,16.2126823156001,18.133994223126,95.7472620319007,105.056694290984,88.7922601574235,82.0137,64.9477,113.831,63.8345
"CLB2",14.8066309672348,15.9657692376956,13.2632284737483,16.843223241703,17.6258656211425,13.5530196069229,12.0729,12.4441,13.9186,6.33863
"CLB4",16.4348334839555,17.4445238653728,6.84528258753763,24.199308716179,24.313390441722,21.3139477017873,26.1642,19.2807,25.4415,19.057
"CLB5",0.423491443016601,0.481851787256943,2.1168178877453,1.37372015644475,2.06203675223689,1.76663283208617,32.8419,20.5171,19.9499,17.1147
"CLC1",115.707662034122,127.481655698867,360.625815112015,130.616945453693,121.643867696188,115.295045933003,288.345,326.077,774.013,656.464
"CLD1",107.726855550767,110.387359327239,104.419166518743,120.849390721337,133.458108974418,120.689490247599,11.5862,8.70311,39.0853,56.7019
"CLF1",55.9454485248246,69.1076905407984,61.8689214671357,47.2366930988018,38.2208185197226,33.0681272898982,46.0346,43.9441,92.9593,105.42
"CLG1",496.148894154579,513.984777582925,231.847562860545,408.950943485083,406.859890218547,405.898478620243,108.111,96.025,48.049,60.312
