"","GSM3714420_Galaxy259","GSM3714420_Galaxy264","GSM3714420_Galaxy269","GSM3714420_Galaxy274","GSM3714420_Galaxy279","GSM3714420_Galaxy284","GSM3714420_Galaxy294","GSM3714420_Galaxy374","GSM3714420_Galaxy379","GSM3714420_Galaxy384","GSM3714420_Galaxy389","GSM3714420_Galaxy394","GSM3714420_Galaxy400","GSM3714421_Galaxy415","GSM3714421_Galaxy420","GSM3714421_Galaxy430","GSM3714421_Galaxy531","GSM3714421_Galaxy536","GSM3714421_Galaxy541","GSM3714422_Galaxy451","GSM3714422_Galaxy456","GSM3714422_Galaxy461","GSM3714423_Galaxy466","GSM3714423_Galaxy471","GSM3714423_Galaxy476","GSM3714423_Galaxy481","GSM3714424_Galaxy486","GSM3714424_Galaxy491","GSM3714424_Galaxy496","GSM3714424_Galaxy501","GSM3714424_Galaxy506","GSM3714424_Galaxy511","GSM3714425_Galaxy516","GSM3714425_Galaxy521","GSM3714425_Galaxy526"
"MRP13",38.3054,30.6098,35.7958,38.3699,26.8892,33.0558,32.3694,31.9243,30.1929,31.7121,32.9961,35.5879,36.8797,50.6672,43.1282,40.2681,41.9287,38.8365,39.5346,33.6094,37.2078,42.8449,76.5224,79.5914,87.3498,88.0521,73.2204,83.2122,87.4274,70.2048,80.6341,94.7642,35.6756,40.7372,29.3118
"RPL11B",538.418,545.534,523.749,558.427,533.281,526.034,532.881,958.135,935.121,892.226,905.433,925.549,544.525,719.776,730.78,697.056,706.612,763.613,687.333,565.766,650.188,511.369,113.876,164.749,147.792,163.983,168.32,180.17,165.668,195.604,205.249,209.905,186.624,251.927,228.985
"PIL1",956.022,933.619,1006.58,961.664,925.253,994.279,991.7,959.651,995.983,1007.05,1022.88,1060.52,967.711,1019.96,996.741,1046.41,1019.03,993.545,1035.43,966.208,1007.4,958.181,464.117,507.005,494.819,505.013,509.838,490.249,479.407,543.618,485.237,490.573,880.721,867.514,871.954
"PDC6",830.365,849.446,855.906,827.381,847.702,819.795,806.746,862.139,876.245,889.557,869.557,835.804,843.412,571.767,579.588,510.769,555.661,570.228,558.822,659.244,644.026,641.946,1700.53,1641.36,1718.46,1674.24,1490.69,1505.49,1446.07,1493.66,1441.65,1449.62,1597.01,1621.47,1666.19
"CTT1",1193.94,1156.34,1138.34,1143.27,1176.37,1145.76,1160.33,1209.74,1204.05,1209.27,1237.68,1244.56,1172.5,1545.42,1546.35,1630.8,1547.78,1527.58,1539.19,1286.31,1272.47,1225.09,769.681,726.831,726.08,755.03,659.683,645.396,661.626,640.808,624.925,639.046,725.717,717.934,715.134
"NNF2",34.705,36.4775,31.9969,34.0908,33.6881,31.3092,35.3105,27.9467,23.6065,26.4147,26.0871,26.5704,35.3555,30.2307,37.7224,44.4227,32.6664,33.5203,35.5967,35.4873,37.0169,36.1325,33.3202,35.4419,37.2748,31.8102,27.378,23.4929,28.6461,33.341,29.0922,25.4555,46.3692,44.7599,39.2702
"UTP22",20.0683,18.8097,15.4364,17.0267,19.4901,15.2548,16.2653,15.952,13.0271,14.6113,11.7559,14.7905,19.4348,25.1845,22.7425,19.3138,24.5076,26.0171,24.5875,20.8809,19.7383,22.1641,18.0908,22.0848,21.9154,21.2856,16.4534,16.277,17.2592,17.6048,18.9188,14.0206,16.1631,17.4147,15.4306
"PRP31",9.0568,8.61191,7.23662,9.8346,11.9179,6.56144,9.22764,9.02703,7.02886,8.33986,7.78728,6.77882,8.73905,10.6468,9.29758,12.7178,9.00281,9.34288,8.48245,6.98083,7.89872,8.74637,16.9736,15.808,14.2794,13.2788,17.1946,15.5926,14.1459,13.477,16.0978,13.6201,21.1624,16.7965,15.9691
"DBF2",29.2896,33.8057,35.6151,29.7419,33.2086,30.3007,33.3035,28.8476,28.8616,25.8952,32.8842,34.3606,32.5984,29.2293,31.2913,26.4173,31.0186,30.6605,33.2766,35.6768,30.0535,32.2491,6.86835,8.89637,6.00212,10.1612,8.06654,5.80959,10.2326,6.80541,7.14666,11.3394,12.0192,12.0284,10.2159
"VAS1",108.825,119.994,113.181,112.896,109.615,114.076,112.606,109.925,112.857,112.622,109.339,110.352,121.298,150.784,154.788,141.384,150.725,148.704,159.581,181.241,196.553,191.014,87.8916,85.1202,83.4661,78.1891,81.6803,81.0042,80.9887,76.3521,82.712,71.6991,78.1823,75.7053,81.1025
"RRP46",46.2394,45.8797,40.6699,54.0661,46.8494,49.642,53.2726,47.3544,49.0921,42.8591,39.1448,18.7395,42.4747,43.6567,49.3846,48.9826,49.5763,46.3867,50.6003,39.3236,54.7168,43.7615,60.5399,70.9742,73.1175,66.7444,63.3445,82.8632,101.788,63.9457,68.9358,88.5777,129.937,129.24,125.101
"TPC1",5.40621,8.29248,4.55776,10.0729,8.45177,11.7161,6.56322,8.05717,9.69209,8.95419,6.34527,7.84509,8.19493,6.07103,9.38078,0,9.76343,4.87359,7.67009,10.3569,10.3658,10.6524,34.4248,30.9764,37.7094,29.3963,33.3196,33.8528,35.9557,34.6949,29.0627,40.4149,31.698,36.2037,33.1377
"ESP1",7.49594,6.91656,6.45023,7.32717,7.65398,6.48315,5.95077,5.36984,6.05748,5.86482,4.89287,4.91813,4.91978,5.82099,6.93958,0,5.66019,5.26764,5.57973,6.67525,7.54963,7.91932,6.00805,7.47123,6.06824,5.04586,5.09439,3.8137,5.88789,6.92109,5.49277,3.9933,4.34814,5.64949,5.02462
