"","k_1","k_2","k_3","f_1","f_2","f_3"
"id3091",17.2925672565112,16.2848057730356,27.2108682378606,10.4300974841175,10.4596067142451,9.02312468001002
"id3092",6.81157923406219,8.13971518132336,18.5784548658497,6.52379150600768,6.8185474062312,6.93899458191639
"id3093",15.617932834816,15.9594222530962,4.13093611377318,10.7331001607573,10.9211999131904,9.18797895257473
"id3094",20.7328939587268,22.6250740598516,29.3975072612361,22.5020418264262,22.1816474929114,22.0036214462572
"id3095",215.73748295683,221.040861738083,72.9238698170628,119.329614546672,115.659800150171,114.879533117504
"id3096",7.96416743583458,8.18069265678765,2.94936122022308,4.9720468348933,6.07170133891946,4.16247444488286
"id3097",178.684866835321,188.137372425688,60.2680822561544,63.2353758691403,55.8465552383464,45.67604865181
"id3098",61.5110838520152,70.2501739342424,61.8055528210445,70.907535467973,74.9185974553566,70.2900942373475
"id3099",151.53344695605,138.691590968725,90.9354727154244,72.8011166609264,68.6621508094969,69.8167671739611
"id3100",21.2958362204163,23.8007187868655,42.365126954805,19.9098648224811,24.7633986526054,16.4091997281842
"id3101",17.1802778587416,18.0009971659909,19.5764710363292,20.7619069099035,23.0756583192517,17.4850023703543
"id3102",318.637184129765,292.886514564816,116.788707264305,51.2441673519257,42.9906825737308,35.158618468902
"id3103",37.035967525806,40.2728523297777,11.2181210192987,63.9210744382592,58.3576581252346,57.1090717026309
"id3104",43.6434335529333,48.2588113337714,20.2674053081996,28.2133235064447,31.9432662612651,31.2093754615428
"id3105",24.807936235802,24.7542229722435,46.7916043005594,21.5684471532707,22.3370334944633,20.3748847065657
"id3106",61.0523828261193,64.8849735443253,69.7976122531697,43.0181407894889,42.5179942599411,46.1604062577355
"id3107",40.0085103621082,41.9607436846502,21.3094312880557,22.2125958458546,22.367348474862,19.0522099521359
"id3108",275.098992488369,270.314377247548,573.197360651405,280.868356444616,302.852106658456,302.138675634352
"id3109",59.8460276052407,57.5821943136469,52.9924074881686,78.7823345359572,84.9604305851771,85.8276977254574
"id3110",74.8334291071687,77.8993722732058,97.3630255001748,53.3865362759507,55.7699198335169,53.4766797985857
"id3111",37.347818443297,33.958812152969,40.1586174784281,47.2674476103842,52.856202839039,50.9323379177901
"id3112",540.194046779191,447.368119275768,517.82446997362,265.93544402625,268.756001527855,272.303329535666
"id3113",8.376517186447,9.10618208121172,9.96194498199644,10.8500608966653,11.6018058978103,10.4751957703524
"id3114",12.1781218069541,11.2036782140701,11.4463584383096,9.21744871811371,8.9189244521172,8.30462116035828
"id3115",40.1829668320707,38.4415386028437,10.4027390077485,22.6359905424789,22.2785656032366,24.8730605990551
"id3116",38.4527575140308,36.6675615538003,49.4613637380358,23.8355519307889,23.207398775516,21.826106407132
"id3117",29.3884446445037,29.4538523804038,2.22718739650545,10.718036385448,9.53187079689054,7.608858174352
"id3118",33.9734246508873,32.3688399680474,14.2622481798442,13.8643978752294,12.6262395336244,12.6561196169614
"id3119",174.311409091191,182.49031277707,100.593268548037,91.2767727802851,89.0471694810715,75.8458764899973
"id3120",30.6629247348729,32.1996948551976,68.1993912797013,29.5031037818724,30.7546483134946,29.9187818337174
"id3121",15.3900258882255,17.7273081573393,15.0332207140741,23.0828538837215,22.0995955411753,23.7983893997205
"id3122",12.388442627664,11.2965253029117,22.2016390098121,12.8821890189424,10.0441985044914,14.3652716569716
"id3123",90.6957107732084,79.6123135978475,82.3973510603107,30.6241661080264,27.4661844354248,28.312901718778
"id3124",113.831353197218,113.675251359068,92.6151400461383,59.7547003035563,56.7899743582807,53.9887792488134
"id3125",7.9065643794725,8.29789920994612,12.7295279645096,12.1243774070452,13.1941203626209,11.5379960906947
"id3126",28.0197535315587,27.8102011912149,8.37995871651903,12.3787059280656,12.4850329322027,10.4174640436729
"id3127",188.77519088185,173.693693992882,347.729252329687,122.62789878211,112.301910533275,103.384272304992
"id3128",25.9506622586846,26.5116221690559,41.768121284241,53.9178195278009,50.900792569989,72.3824716110423
"id3129",422.753246923269,441.789568706337,461.780743879943,353.953491685786,332.623718629676,304.559866975732
"id3130",17.594541395432,18.6282907444694,14.4170202707812,15.9559248411795,15.804943282497,16.127060605509
"id3131",35.9655081874635,40.2459429020983,26.6060703240527,30.7197017535161,26.6975695059092,22.5294451123698
"id3132",42.2155183609024,38.0101531209967,7.2313315055955,5.60157733695916,5.09198607031904,4.45047066805298
"id3133",65.5930496399576,69.6008137148917,71.6012626923518,108.700810864132,116.023527075384,112.98873290991
"id3134",21.4207881060722,24.1626259598322,33.3469517570959,41.6908093990789,41.360620902426,41.8962343618336
"id3135",36.748944025351,41.2330882627832,16.032425094546,31.9987948879319,35.2058318957512,30.9139481377814
"id3136",1.49263377456671,1.61275529887911,1.32901018414424,1.05093345301784,1.46973396453093,1.29624698811188
"id3137",127.729058476453,124.233024136291,54.1269602269654,39.0824408145011,34.491983903969,38.5243330914037
"id3138",31.0300181749491,32.160461069607,29.4826925143857,21.2283022639541,22.3927854079822,21.4099511871303
"id3139",27.3640624718419,30.5790557297675,25.2043373704534,68.6860078222373,62.9300513851559,45.7001173064475
"id3140",32.5708404925071,30.3776126748942,11.8679625902779,11.4836735865609,10.7153259216107,10.1890710698414
"id3141",18.0316199616261,19.8520775579514,27.2655676791923,9.24027011061489,11.1866197369841,10.2061187229049
"id3142",14.7666606442018,14.7715220027948,22.2941458390196,18.3538020902044,18.8493380951091,19.2965632716763
"id3143",137.181973194275,147.586922832112,161.839231531759,95.5955589131204,91.349525744476,94.9021510233048
"id3144",113.355274332837,109.477724721331,45.8904462159754,54.1658569458265,59.9240236626624,54.0132560269703
"id3145",2664.34347730857,2929.58357718045,937.49416678741,1813.22474899729,1882.14085568644,1739.51003165001
"id3146",156.681881120772,166.907004216998,115.65043499015,169.608433416744,184.748927122067,184.680800202724
"id3147",3914.92172920786,3958.12040092957,3781.71358137089,3777.79981002893,3726.94804695306,3716.98770759714
"id3148",38.7549589999774,42.8389845443132,74.3235540480808,70.2695469074762,70.7282998276968,65.8114661743731
"id3149",12.7317746592012,16.864812553993,11.9879546291053,13.2987802379225,14.0203238935626,13.2042769673428
"id3150",601.778107767483,566.543675818707,845.351928274831,342.276533636309,310.126768760752,275.827024669844
"id3151",273.151980745707,277.019147768646,133.5038554203,158.602236244075,155.213092491744,140.025727315921
"id3152",1.41163814338867,8.03086312094905,4.50386784626659,1.52635572938305,2.98845906121288,7.12351948421844
"id3153",20.0853258672397,17.6821442995619,2.1570630926687,7.58439731606966,7.0967619835011,5.85676502161463
"id3154",50.8772518009393,47.3839343546822,48.2512997933744,33.7128570503642,32.3247085611925,30.8500676378469
"id3155",1.3983208024133,1.78042720134248,9.36889490662059,4.92465716461324,4.7364256819223,4.47572073253725
"id3156",5.22112737965672,3.9604256486872,2.49872120238078,1.69362759013736,1.10532047469518,0
"id3157",20.9280956496034,18.0800648569514,80.5691914721023,16.087304830323,17.1006268502737,16.0335724263837
"id3158",18.9873086539311,20.8588116697177,39.3575829925321,17.8130745560967,17.5648206046798,17.0696077562182
"id3159",13.9779459108772,15.021220712269,12.7523616792466,22.3610568056933,25.7602176199896,23.9374730613565
"id3160",19.8293640377185,21.6360900552627,45.224131844571,21.4138730269328,22.5452867412089,19.8871902777063
"id3161",29.1262997776843,33.3836145160728,57.6758608504618,30.1780013091319,29.5428253471497,22.9165137449751
"id3162",12.9904901119106,13.3801404592975,16.8310632317229,19.5362970345602,19.823100416419,16.9707375947557
"id3163",13.4328088085781,11.9427448704085,13.5890339315723,12.4776300742976,15.2205902043149,10.3240004444633
"id3164",36.9268706854662,39.0847847685441,44.6072331783273,42.5810453477421,44.4917316309544,42.261777276466
"id3165",6.70679581429724,6.66940778499417,18.9626367261267,10.7303462863924,10.9085168736547,7.7044073391547
"id3166",9.1076171781281,9.615265333064,23.1365861801436,9.97188426816819,11.0581986647591,7.72429823589951
"id3167",19.9420224286175,19.927328266534,15.2761786278221,58.8444305820362,60.9511836887672,62.0384122244994
"id3168",0.317618582262451,0.421620313849825,0.912033238868984,1.23634814080027,1.14308559091393,1.08989848108542
"id3169",35.2096550528985,40.4065940273928,16.9425604583379,46.7496388318893,45.085051229764,41.6669945956484
"id3170",33.2828486201779,33.1697269044832,53.8085338112061,15.575277830113,16.478615809364,11.6484593256023
"id3171",80.3316212797712,81.9326501961713,133.764875034118,65.4908364953955,66.124637494437,64.111675357966
"id3172",85.3087267193801,79.1872043772859,109.736131443495,38.2413989496781,39.8595823434745,37.8509170431715
"id3173",38.6933634687817,31.540013710052,33.4325574742097,22.3474133712237,22.298502225973,22.1011758356521
"id3174",24.6719453038323,26.9800907097052,46.1519941100576,25.210594631383,23.4711559976158,23.6516854785005
"id3175",21.9907556591893,19.5368997378724,8.77025902427548,15.2857588317124,17.6536427088739,15.8530688157879
"id3176",27.6526996820471,28.1531381318663,83.3793897350172,28.0697553636302,26.3996540022233,25.8710677126688
"id3177",151.099736226457,179.157355914822,254.094324709625,231.820371801225,244.858550736529,240.770730958581
"id3178",50.7544820792992,60.7940414836107,50.9051377994781,104.402731889801,107.557220486353,112.393950262067
"id3179",84.9368753317802,74.3137615558243,117.13228138213,48.1124524275953,41.9857452614063,39.2495890454402
"id3180",18.9127428529005,18.8223354397243,20.6128724441349,12.3322604953562,8.78708843282765,8.9610637148066
"id3181",145.038630969119,151.904827500667,61.7458002648449,82.5697750677798,85.6971795778456,77.8170228350714
"id3182",467.428680229573,446.716761102791,350.73870852801,200.143395015353,180.054658438076,167.402707879133
"id3183",170.224807704053,173.626667991293,112.106422719525,106.754784113381,99.7439564895591,97.4686724999334
"id3184",55.707887035804,47.575239754483,104.928718620932,34.1517264209808,31.3561229853083,29.604986291881
"id3185",83.4789253104965,85.2379196078661,115.768816872527,60.8226441681053,63.4145860273751,66.6982498465459
"id3186",5.69906427691924,5.95724857330794,17.4734303970036,3.87767834094906,4.09033072820275,3.75972188094855
"id3187",23.6900476394249,21.798057042576,20.2674053081996,22.5510451747195,21.7056500235462,20.1815198620564
"id3188",8.89478567166355,10.3650932322284,24.1712769188909,9.681003639997,12.3002493194212,9.09542799196057
"id3189",5.07658152402745,5.98534516074916,14.4373462498786,5.05804911159572,5.95034709520787,5.33816878503566
"id3190",530.332284211932,490.45628345796,959.51687416248,324.19795692096,330.053957174811,316.89485248366
"id3191",17.7866406066972,20.6612205748053,77.9988022467077,27.1413800606659,25.4290698299569,19.8940471413809
"id3192",100.913841784111,96.9321017629575,113.938522069413,38.2221618658461,38.5325407970376,32.288367071473
"id3193",28.6764205699812,25.8134886030505,12.9049601146088,46.3139938458514,44.5158422199854,41.5548328442653
"id3194",113.245693707873,110.085717058552,107.970735507337,62.0105002346946,66.6732417662766,63.5967221422393
"id3195",30.8284147985297,32.2383282891674,5.61372864843501,17.5243104482743,17.6101459504372,17.5410877702419
"id3196",13.3898029777308,10.7471844706818,7.84865205562633,6.66658311215833,5.99889208611115,6.53687670316515
"id3197",78.9669379787492,69.3832520520156,92.0985273015715,21.4067345933616,26.373415213354,24.194794799402
"id3198",343.34022469825,307.698475449827,614.595371778378,27.6431648188759,26.2022510072191,28.0075083013424
"id3199",10643.9485739148,8885.46524104849,9837.49478737327,508.524934398642,440.519715337159,552.95077521917
"id3200",16.0563013364576,16.2588026375042,41.9647195798612,18.7095628669162,18.10951188781,15.4576002550188
"id3201",48.3497788679916,60.9118289206866,1303.24129481795,268.149261767146,388.363161970659,280.110512502528
"id3202",26.0212719721918,28.249817864462,49.4810970686543,16.8462632347317,16.0167974404331,13.583854168943
"id3203",8.43079739092956,11.0655671574367,9.43321629552149,1.87805059790449,2.31364572480997,2.06811855993438
"id3205",26.3906449737276,28.0523614759488,24.1202189905505,13.3291658744144,12.8888392778647,11.3242800830308
"id3206",2019.83793223956,1761.98845567903,942.218736136515,1021.22940991871,892.837115866788,954.309108094319
"id3207",149.213155241594,139.856626904187,332.184210406024,119.932589544928,137.246571992085,124.403931758436
"id3208",16.7471616102019,17.6185112051837,46.6583849474863,25.0134606026436,23.2644346436399,21.3934146649041
"id3209",580.089167723184,566.532777276728,664.921023037157,389.729496235806,378.13968654547,334.995376277846
"id3210",80.4633741731541,82.6813862224981,166.131307147515,76.1790268573905,68.6666388837778,66.6372868114616
"id3211",70.4908337408277,69.5144603479998,106.313074080825,96.1111736695393,107.825530966665,114.964412837241
"id3212",1.75641612311033,1.88743787635208,1.77456544173177,1.77254213734806,3.65638654724433,3.66352430616948
"id3213",8.43367164001043,8.54939803964426,9.77680597578041,17.6076617704391,17.6676296367009,15.0529013647305
"id3214",4.77036338110654,17.1925086928363,9.70661173764351,10.1844770219179,10.5111318704729,10.4150767631332
"id3215",95.5793845315457,101.500119301373,139.253559916625,88.3606601426102,82.4257045854625,76.8113086585391
"id3216",89.4964675143457,95.3022130954003,85.2628775034606,124.78522012237,121.165085237993,115.65367249304
"id3217",2805.73784628376,2506.82068551778,4621.94837272398,1915.99241424484,1836.41466115721,2081.86813937131
"id3218",793.731324947876,758.350420532125,2971.52970672753,902.351219212453,895.999327566936,986.4493547898
"id3219",22.6676062332938,21.2745105411632,31.7867707634367,35.2143091174304,38.8155045117008,38.2135158888173
"id3220",16.3621693892778,18.1998131766962,73.6119179808636,303.794347151428,313.351575915162,257.473598396472
"id3221",51.1768532546822,55.9709685589148,87.4130970726107,124.709712481001,134.164975459381,134.925478906718
"id3222",50.6199432409921,48.4367984579433,50.7478895314973,72.6314181932274,74.7192792954949,73.5861422646523
