"","k_1","k_2","k_3","aa.1","aa.2","aa.3","bb_2","bb_3","bb_1","ab_1","ab_2","ab_3","bba_1","bba_2","bba_3","aab_1","aab_2","aab_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM"
"CST26",115.251522380658,112.31107527754,212.858313551986,227.00961303477,243.242215858076,106.920546116239,67.8812106037699,94.3823365990499,235.005739974654,102.473074371611,102.424605198993,97.9401335595785,91.7642360797526,102.924135569438,93.8059654661825,212.129336217738,279.386443920681,273.957844222166,118.192076639013,124.297358390173,128.32535014645,290.419757259137,276.951304353339,468.909343226313,328.635774493433
"CST6",316.457895041349,289.515004913348,188.579956572272,216.5653357927,201.361709344456,137.968888616071,116.897253374693,192.877943815566,163.857640232928,99.7429161073854,136.426859185999,142.393348844219,155.331043129865,167.93743355591,156.879774833307,139.331630925975,218.313769028538,277.573039395933,158.171110344247,154.777089156955,171.666569155272,392.364354982829,393.424697559031,793.500997029579,670.424208024407
"CST9",22.9164626594723,27.3874063328601,46.7838368426935,44.702303690717,33.7516120712806,37.8464795250674,22.3092366775781,28.127227817831,27.3934822109363,29.1833569428204,30.9480608368437,33.0380258942844,20.7452992330111,24.7841414955484,23.3491342998296,19.3385550600915,38.2138828601649,44.2616771664975,45.541737328841,49.8268757331813,50.8472862768683,65.7039722277255,65.6478459645369,114.662607437593,82.2467816118129
"CTA1",576.271275935441,606.404175047127,780.218027811062,867.406445080092,619.31858976126,330.897605150864,602.685795768652,592.930447564198,475.622367691866,677.334355714181,776.080362686014,684.668791139442,575.647445593214,645.728757428303,594.294587208006,670.119830394506,897.213698550973,952.69956454842,612.63649604911,601.714759211517,580.733063863381,1222.19841732596,1201.36418235282,2700.51669796636,2461.19453900559
"CTF13",4.78473518040806,4.70575462476834,10.6717712282688,13.9972605072816,13.5734830686274,8.65293019955794,7.16823331257756,11.1556698336621,10.1605084409342,5.29513905838923,6.84920247758578,5.8873157142218,10.286139489932,8.88075959636122,9.43166173126739,16.1180898875773,17.0342342858273,20.7329345140527,5.39066110163604,5.13425056409708,4.4151567469471,38.3564980328352,36.0980546797774,46.4536090954995,35.530187434736
"CTF18",24.1402958724397,24.1593312118163,54.04510381821,61.7662085593551,53.0281642613147,57.5158882411833,35.8738041032395,46.6915478713196,45.1035253066981,75.8604368122689,64.3541137312984,65.278191844854,71.7762334575235,74.4620460037107,61.069876277749,68.0947500197997,82.9419871305881,96.0121770475738,90.7000366717978,99.0865841416088,93.7250824449433,135.772067825482,133.131966965925,214.64305382369,152.165716990969
"CTF3",30.3115849633255,32.2061317421746,66.7764671900106,70.1440909241342,75.7282136430219,28.7335675083428,13.8231285487893,24.7098979830403,65.9988099445537,28.8478073864121,38.4432110406743,33.5634220618019,23.9103910496087,24.9113024688951,27.6524483554858,59.3337885198127,83.0884847632425,88.8278532527253,40.8542246137738,44.5310438073481,44.5359206310759,92.7100601013352,90.8019614856813,155.141667475897,115.263026420686
"CTF4",6.73567991471857,6.4048232724845,18.2870311401328,26.5795550690681,24.571789818,12.3794460088596,9.71597371143426,16.0551552698967,19.5317571088812,13.6852679972932,16.9306391984491,14.4634137909867,17.6386632748156,15.2034624735378,17.8107018935712,39.1001970553884,41.962643863593,41.798988260966,8.92873675407685,8.70425732540098,8.77129359238012,73.9401674195627,64.9759238822442,85.0240118465608,61.8252850091552
"CTF8",15.8881407820203,16.0110269100586,46.6006252056588,73.1456521215221,62.6290402302603,36.9846609519557,19.3448587218318,17.6685887042226,60.2276076626576,15.9443122633583,26.7215571899415,19.323067763294,21.2660784712583,23.6677293972394,21.3625126748767,63.2825906005638,68.5575414434342,66.2352038777585,24.1538619586258,27.4239857798302,27.4960541502517,140.801519090806,150.512790311449,204.191678911919,159.879269632223
"CTH1",221.631582411684,236.148883646252,287.594887450668,246.236701011375,289.157419277549,350.22581157161,270.082355905123,299.706135756988,207.502454030679,283.768202169446,288.297990654422,287.79380282642,325.4328347603,341.28666154416,334.040870294813,218.708596025492,312.741125471941,360.321948709561,191.676622507397,206.694524337526,190.654668138178,598.878092772808,600.42311747119,963.290124310022,702.664467732878
