"","GSM15965","GSM15966","GSM15967","GSM15968","GSM15969","GSM15970"
"33757_f_at",386.8,347.1,304.9,440.8,785,540.1
"33758_f_at",1214,276.6,421.7,1064.5,1471.8,1140.7
"33759_at",537.3,604,597.6,404.2,651.1,707.3
"33760_at",739,895.9,587,107.1,312.3,321.1
"33761_s_at",428,447.9,295.4,126.7,229.2,326.6
"33762_r_at",137.9,234.4,19.4,522.6,241.2,369.2
"33763_at",399.1,434.3,289.6,383.3,892.8,421.7
"33764_at",25.5,15.4,35.1,73.8,242.3,225.8
"33765_at",21.1,76.8,111.5,87.5,305.1,269.2
"33766_at",730.9,837.3,1460.3,4153.9,3645.4,316.7
"33767_at",22.9,25,68.5,67.4,314.3,237.3
"33768_at",2586.6,2387.7,2795,5746.7,6268.6,3490.3
"33769_at",262,237.4,331.7,189.7,594,152.9
"33770_at",2513.5,2533.4,2890.5,3590.9,2858.6,2178.3
"33771_at",43.1,110,16.9,49.6,102.6,163.6
"33772_at",1947.2,1962.7,1510.3,355,110.1,244.1
"33773_at",232.4,218.7,172.7,516.8,274.8,121
"33774_at",682.6,557.5,842.1,519.1,492.4,526.5
"33775_s_at",328.3,49.7,63.2,415.9,129,37.3
"33776_at",307.9,150.4,151.6,370.9,310,504.4
"33777_at",1643.1,1211.3,1634.7,1146,865.1,1370.8
"33778_at",1664.6,1776.7,2316.2,3565.4,3187.9,2015.4
"33779_at",2963.2,3241.8,2505.3,4471.1,3436.8,3989.7
"33780_at",85.8,96.1,147.3,36.8,383.1,20.3
"33781_s_at",1484.3,1164.8,1470,1065.6,998.3,1110.4
"33782_r_at",4981.4,5787.8,5869,4363.9,6535.7,6832.1
"33783_at",2261.2,3046,4256.5,3954.6,3849.7,3225.1
"33784_at",1106.6,1131.4,1267.5,1407.1,1910.6,2036.3
"33785_at",249.2,509.4,224.3,387.4,546.7,409.5
"33786_r_at",116.9,17.5,9.5,38.1,5.9,126.8
"33787_at",684.8,624.6,1694.5,1660.7,2194.4,1161.2
"33788_at",1534.7,1471.1,1675.9,1308.3,1379,1635.9
"33789_at",474.6,533.2,162.4,812,193,835.8
"33790_at",135.7,135.7,234.7,1644.5,1246.3,460.8
"33791_at",45.1,124,156.4,278.4,129.6,143.1
"33792_at",324.4,498.3,286.1,633.6,159,220.9
"33793_at",57.5,12.5,57,25.4,37.1,16.4
"33794_g_at",430.1,756.3,594.7,568.8,309.5,571.9
"33795_at",1281.3,1452.3,1514.4,2731,3256,2392.9
"33796_at",344.6,418.4,334.3,421.5,636.7,447.5
"33797_at",756.4,514.9,533.2,687.7,683.6,395.9
"33798_at",157.6,157.9,213.8,286.8,339.6,117.3
"33799_at",320.3,633.4,399.6,301,423.9,363.9
"337_at",72.9,46.5,49.3,70.1,57.8,74.5
"33800_at",789.5,884.8,959.6,805.2,1049.8,1013.2
"33801_at",330.8,530.3,422.3,955.7,332.3,267.9
"33802_at",572.7,152.8,511.5,909.7,569.6,3051.5
"33803_at",771.8,833.4,611.1,806.3,1128.1,619.2
"33804_at",501.2,1022.7,610.4,1444.7,739.6,794
"33805_at",1416.7,999.2,1480.4,1132,843,472.6
"33806_at",722.9,1169.1,1224.1,776.2,1467,690.4
"33807_at",291.1,311.8,350.4,129.5,483.3,172.6
"33808_at",2092.9,2386.9,2777.3,3549.9,1935.4,1933.5
"33809_at",482.4,434.5,555.6,502.5,681,362.4
"33810_at",668.1,630.9,633.1,801.1,963.7,1078.2
"33811_at",1051.7,812.6,1341.7,527.2,793.6,459.3
"33812_at",569.2,837.7,268.4,1442.1,898.7,812.3
"33813_at",2030.5,1985.4,1972.4,3123.6,705.8,5062.3
"33814_at",1308.6,1496.3,1288.9,1670,612.5,1858.1
"33815_at",673,456.2,535.5,399.4,727.4,497
"33816_at",930,375.3,1044.5,1405.4,1387,1391.7
"33817_at",1667.2,2844.3,1301.1,595,809.8,977.2
"33818_at",5457,4155.9,8326.7,4957,4007.5,6674.9
"33819_at",7251.4,7446.3,6831.1,6060.8,8907.8,6230
"33820_g_at",15750.1,15986.9,11603.5,6948.7,9790.2,13049.5
"33821_at",3638.7,4285,3235.7,2370.7,2308.4,1187.1
"33822_at",3638.8,3114.3,4370.3,4045.4,3262,4359
"33823_at",1288.9,1568.3,949.2,726.5,862.5,832.2
"33824_at",3603.4,3677.5,5049.4,8672.6,5084,10492
"33825_at",3343.6,2381.8,995.7,1151.2,120.1,2922.9
"33826_at",1231.4,1451.8,1538,2455.1,1695.4,1693.6
"33827_at",495.7,547.6,773.1,282,472.1,477.7
"33828_at",1468,1344.9,2269.7,1877.6,2133.2,1216.1
"33829_at",3582.4,6124.4,8307.6,1696,2296,1418.7
"33830_at",7135.2,7683.4,12329.7,1593.3,1435.4,2364.6
"33831_at",222.3,343.5,198.7,308.4,514.6,22.6
"33832_at",15.3,40.9,29.5,65.8,75.8,33.2
"33833_at",8196,7760.9,9463.7,7474.5,7191.4,6180.2
"33834_at",283.6,507.9,1256.6,194.3,301.4,1092.1
"33835_at",1556,1596.4,1468.7,596.8,362.6,502.9
"33836_at",1617.7,1711.5,1765,1685,2015.5,1353.7
"33837_at",154.8,298,201.4,32.7,113.2,275.3
"33838_at",2483.9,3856.2,3548.8,3244.3,1798.8,3567.5
"33839_at",606.7,579.1,769,1429.1,1835.2,1056
"33840_at",205.3,477.3,250.7,214.1,488.7,255.9
"33841_at",969.6,1158.9,1664.1,4786.5,4233.1,2410
"33842_at",685.5,392.6,692.3,697.1,907.9,514.6
"33843_g_at",973.9,669.1,937.8,1201.6,1442.4,863.6
"33844_at",1083.9,1138,1052.3,1160.3,1374.3,330.7
"33845_at",3754.1,7863.7,6512.8,4391.6,10698.1,2464.1
